Week,raw1,raw2,raw3,3pcLS1,3pcLS2,3pcLS3,.75R1,.75R2,.75R3,1.1R1,1.1R2,1.1R3
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,16,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,170,119,81,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,99,48,153,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,311,194,546,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,515,355,4120,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4900,2020,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1120,917,3720,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1230,997,2070,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1540,1430,2330,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1620,1110,2270,14,NA,NA,6,NA,NA,NA,NA,NA
17,1720,1220,1820,NA,NA,8,NA,NA,NA,NA,NA,NA
18,1260,1030,1680,NA,NA,7,NA,NA,NA,NA,NA,NA
19,1030,1030,1280,NA,NA,1,NA,NA,NA,NA,NA,NA
20,2090,1640,2150,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2060,1880,2490,NA,2,2,NA,NA,NA,NA,NA,NA
22,2390,2180,2250,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2360,2280,2280,NA,22,38,NA,NA,NA,NA,NA,NA
24,2360,2250,2340,NA,7,NA,8,NA,NA,NA,NA,NA
25,2430,2630,1590,NA,7,6,NA,NA,NA,NA,NA,NA
