Week,raw1,raw2,raw3,3pcLS1,3pcLS2,3pcLS3,.75R1,.75R2,.75R3,1.1R1,1.1R2,1.1R3
0,22,91,25,150,117,121,307,346,317,478,104,127
1,33,57,88,178,143,85,280,291,265,296,118,134
2,26,48,48,113,84,56,210,193,179,84,134,113
3,21,35,38,121,62,48,167,142,143,115,197,115
4,18,33,31,109,54,47,145,143,120,122,132,83
5,15,21,23,99,52,41,130,136,111,133,119,73
6,9,21,16,84,39,34,107,114,78,112,102,59
7,4,14,5,80,38,34,100,99,81,119,123,55
8,<1,4,1,77,33,27,87,110,73,130,101,52
9,<1,3,<1,77,34,30,93,108,68,131,116,54
10,<1,<1,<1,77,32,25,75,98,56,114,105,48
11,<1,<1,<1,63,31,27,70,86,60,124,113,52
12,<1,<1,<1,65,26,22,75,89,67,125,114,49
13,<1,<1,<1,59,31,24,80,91,67,113,89,48
14,<1,<1,<1,44,24,19,82,76,55,101,98,44
15,<1,<1,<1,71,24,18,84,88,68,140,135,52
16,<1,<1,<1,10,57,20,17,65,68,49,105,91
17,<1,<1,<1,54,25,19,69,76,76,92,107,50
18,<1,<1,<1,63,21,19,68,73,51,108,129,49
19,<1,<1,<1,49,16,15,59,66,50,103,129,46
20,<1,<1,<1,50,13,13,56,63,49,104,138,44
21,<1,<1,<1,54,11,10,50,56,41,92,145,33
22,<1,<1,<1,49,14,11,52,53,41,90,127,31
23,<1,<1,<1,50,10,8,57,61,43,97,129,31
24,<1,<1,<1,54,11,57,8,54,42,91,128,31
25,<1,2630,<1,66,8,7,73,65,45,92,124,33
