Week,raw1,raw2,raw3,3pcLS1,3pcLS2,3pcLS3,.75R1,.75R2,.75R3,1.1R1,1.1R2,1.1R3
0,2170,5210,6190,5340,3510,2750,6800,5390,7050,8270,1980,2020
1,2060,3530,2890,3660,2310,2220,2570,3770,2410,2900,1840,2060
2,1180,1730,2000,1690,1500,1140,1810,1850,1510,534,1180,824
3,1840,1990,1920,2500,1470,1230,2040,2000,2110,1400,3100,1760
4,1220,1390,1610,1790,951,856,1650,1740,1540,942,1940,1300
5,1220,1320,1600,1510,873,788,1510,1490,1510,881,1440,1240
6,1200,1150,1450,1360,830,761,1340,1320,984,863,1320,807
7,989,1460,1660,1334,693,648,1290,975,962,888,1310,675
8,1310,1980,2190,1340,754,676,1550,1100,947,946,994,762
9,1580,1990,2360,917,613,602,835,834,750,819,830,494
10,2240,3340,4210,992,729,648,815,969,787,836,829,566
11,4160,4960,7140,809,706,649,829,843,778,709,844,599
12,4550,5770,6950,843,749,671,1120,1130,869,866,1070,633
13,4600,5460,6480,795,673,635,751,844,686,660,679,562
14,6750,5260,7190,677,714,593,733,713,634,679,673,476
15,8840,9830,9650,967,802,680,912,938,870,858,1170,744
16,7470,5060,7630,830,717,653,572,632,568,513,633,526
17,8830,7330,9210,813,798,730,628,697,619,519,691,562
18,7330,5440,8540,765,677,605,520,540,516,489,696,464
19,6360,6170,7250,773,726,643,532,590,535,429,700,490
20,6490,6380,7380,794,658,830,535,555,475,449,649,466
21,6770,8370,19000,772,684,639,611,629,525,415,689,433
22,7310,7100,7900,875,815,640,616,604,511,432,619,421
23,7770,7630,8100,864,829,608,635,634,534,439,592,386
24,8900,8870,8370,889,943,679,730,620,544,430,591,444
25,9020,7370,20100,892,800,629,671,634,571,398,489,408
