Week,raw1,raw2,raw3,3pcLS1,3pcLS2,3pcLS3,.75R1,.75R2,.75R3,1.1R1,1.1R2,1.1R3
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,39,0,86,,,,,,,,,
11,237,0,344,,,,,,,,,
12,436,144,821,,,,,,,,,
13,564,254,270,,,,,,,,,
14,716,382,1180,,,,,,,,,
15,969,678,1420,,,,,,,,,
16,96,55,129,,,,,,,,,
17,1000,628,1080,,,,,,,,,
18,783,567,1090,,,,,,,,,
19,560,563,692,,,,,,,,,
20,1400,1060,575,,,,,,,,,
21,1320,1210,1650,,,,,,,,,
22,1550,1350,1460,,,,,,,,,
23,1550,1470,1540,,,,,,,,,
24,1690,1520,1630,,,,,,,,,
25,1780,1760,1530,,,,,,,,,
