Week,raw1,raw2,raw3,3pcLS1,3pcLS2,3pcLS3,.75R1,.75R2,.75R3,1.1R1,1.1R2,1.1R3
0,6.2,6.2,6.2,7,6.9,6.3,6.8,6.9,6.9,7.8,6.5,6.2
1,7,7.3,7.2,7.8,7.7,7.8,7.9,8,8,8,7.8,7.9
2,6.8,7.2,7.1,7.8,7.7,7.7,7.8,7.9,8,8,7.9,7
3,6.4,6.8,6.7,7.8,7.2,6,6.6,6.6,6.6,6.3,6.7,6.3
4,6.3,6.6,6.6,7.5,7,7.1,7.7,7.8,7.7,7.7,7.8,7.5
5,6.3,6.3,6.5,7.6,7,7.1,7.7,7.8,7.8,7.7,7.8,7.5
6,6.5,7,6.8,7.9,7.7,7.7,7.9,8,7.9,7.9,8,7.9
7,5.5,6.7,5.9,7.8,7.5,7.6,7.9,8,8,7.9,8,7.9
8,3.8,6.2,4.7,7.8,7.2,7.1,7.9,7.9,7.7,7.9,7.9,7.6
9,3.4,5.4,4.3,7.5,6.8,6.8,7.7,7.8,7.5,7.8,7.8,7.1
10,3,4.9,3,7.3,6.9,6.8,7.5,7.7,7.8,7.8,7.7,7.4
11,2.9,3.7,2.9,6.9,6.8,6.7,7.4,7.4,7.3,7.6,7.1,7.1
12,2.7,2.9,2.6,7.2,6.9,6.8,7.8,7.8,7.7,8,8,7.4
13,2.6,2.9,2.6,7.3,6.9,6.9,7.7,7.8,7.7,7.8,7.9,7.6
14,2.5,2.8,2.4,7.2,6.8,6.7,7.7,7.7,7.6,7.9,7.8,7.4
15,2.5,2.8,2.4,7.2,6.4,6.3,7.6,7.7,7.4,7.9,7.9,7.1
16,2.5,2.7,2.4,6.4,6.8,6.4,6.4,7.4,7.5,7.3,7.7,7.6
17,2.5,2.7,2.5,6.9,6.6,6.6,7.5,7.6,7.4,7.8,7.8,7.3
18,2.5,2.6,2.4,7.2,6.5,6.4,7.4,7.5,7.2,7.8,7.9,7.1
19,2.4,2.6,2.4,6.9,6.4,6.4,7.3,7.4,7.3,7.8,7.9,7.1
20,2.4,2.5,2.3,7.2,6.3,6.4,7.3,7.5,7.3,7.9,8,7.2
21,2.3,2.4,2.2,7.1,6.3,6.4,7.7,7.5,7.4,7.9,8,7.1
22,2.3,2.4,2.3,7,6.3,6.2,7.3,7.4,7.3,7.8,8,7.1
23,2.3,2.4,2.3,7.3,6.3,6.2,7.6,7.7,7.5,7.9,7.9,7.4
24,2.4,2.4,2.3,6.9,6,7.3,6.1,7.2,7.1,7.7,7.9,7
25,2.3,2.4,2.3,7.8,6.3,6.4,7.9,7.9,7.7,8.1,8.3,7.4
